part,measure,pitch,staff,voice,ground_truth
P1,1,A5,1,1,3
P1,1,G5,1,1,2
P1,1,F5,1,1,1
P1,1,E5,1,1,3
P1,1,D5,1,1,2
P1,1,D2,2,5,5
P1,1,A2,2,5,4
P1,1,F3,2,5,2
P1,1,D3,2,5,3
P1,1,A3,2,5,2
P1,1,D4,2,5,1
P1,1,A3,2,5,2
P1,1,F3,2,5,1
P1,2,A4,1,1,1
P1,2,E5,1,1,3
P1,2,G5,1,1,4
P1,2,E5,1,1,3
P1,2,C3,2,5,3
P1,2,A3,2,5,2
P1,2,E4,2,5,1
P1,2,A3,2,5,2
P1,2,A2,2,5,4
P1,2,G3,2,5,2
P1,2,C4,2,5,1
P1,2,G3,2,5,2
P1,3,A5,1,1,4
P1,3,A5,1,1,4
P1,3,B5,1,1,5
P1,3,A5,1,1,4
P1,3,G5,1,1,3
P1,3,F5,1,1,2
P1,3,E5,1,1,1
P1,3,D5,1,1,3
P1,3,D2,2,5,5
P1,3,A2,2,5,4
P1,3,F3,2,5,2
P1,3,D3,2,5,3
P1,3,A3,2,5,2
P1,3,D4,2,5,1
P1,3,A3,2,5,2
P1,3,F3,2,5,1
P1,4,A4,1,1,2
P1,4,E5,1,1,3
P1,4,F5,1,1,4
P1,4,G5,1,1,5
P1,4,G5,1,1,5
P1,4,C3,2,5,3
P1,4,A3,2,5,2
P1,4,E4,2,5,1
P1,4,A3,2,5,2
P1,4,A2,2,5,4
P1,4,G3,2,5,2
P1,4,C4,2,5,1
P1,4,G3,2,5,2
P1,5,G5,1,1,5
P1,5,F5,1,1,4
P1,5,E5,1,1,3
P1,5,D5,1,1,2
P1,5,A4,1,1,1
P1,5,A4,1,1,1
P1,5,D5,1,1,2
P1,5,E5,1,1,3
P1,5,D5,1,1,2
P1,5,F5,1,1,3
P1,5,G2,2,5,4
P1,5,D3,2,5,3
P1,5,B3,2,5,2
P1,5,D3,2,5,3
P1,5,A2,2,5,4
P1,5,G3,2,5,2
P1,5,B3,2,5,1
P1,5,G3,2,5,2
P1,6,F5,1,1,3
P1,6,E5,1,1,2
P1,6,F5,1,1,3
P1,6,G5,1,1,4
P1,6,G5,1,1,4
P1,6,D3,2,5,3
P1,6,A3,2,5,2
P1,6,F4,2,5,1
P1,6,A3,2,5,2
P1,6,B2,2,5,3
P1,6,A3,2,5,2
P1,6,D4,2,5,1
P1,6,A3,2,5,2
P1,7,G5,1,1,4
P1,7,F5,1,1,3
P1,7,E5,1,1,2
P1,7,D5,1,1,1
P1,7,A4,1,1,2
P1,7,A4,1,1,2
P1,7,D5,1,1,3
P1,7,E5,1,1,4
P1,7,D5,1,1,3
P1,7,D5,1,1,3
P1,7,E2,2,5,4
P1,7,B2,2,5,3
P1,7,G3,2,5,2
P1,7,B2,2,5,3
P1,7,A2,2,5,4
P1,7,E3,2,5,3
P1,7,G3,2,5,2
P1,7,E3,2,5,3
P1,8,D5,1,1,3
P1,8,D2,2,5,5
P1,8,A2,2,5,4
P1,8,F3,2,5,2
P1,8,D3,2,5,3
P1,8,A3,2,5,2
P1,8,D4,2,5,1
P1,8,A3,2,5,2
P1,8,F3,2,5,3
P1,9,A6,1,1,5
P1,9,G6,1,1,4
P1,9,F6,1,1,3
P1,9,E6,1,1,2
P1,9,D6,1,1,1
P1,9,D2,2,5,5
P1,9,A2,2,5,4
P1,9,F3,2,5,2
P1,9,D3,2,5,3
P1,9,A3,2,5,2
P1,9,D4,2,5,1
P1,9,A3,2,5,2
P1,9,F3,2,5,1
P1,10,A5,1,1,3
P1,10,E6,1,1,4
P1,10,G6,1,1,5
P1,10,E6,1,1,4
P1,10,C3,2,5,3
P1,10,A3,2,5,2
P1,10,E4,2,5,1
P1,10,A3,2,5,2
P1,10,A2,2,5,4
P1,10,G3,2,5,2
P1,10,C4,2,5,1
P1,10,G3,2,5,2
P1,11,A6,1,1,5
P1,11,A6,1,1,5
P1,11,B6,1,1,5
P1,11,A6,1,1,3
P1,11,G6,1,1,2
P1,11,F6,1,1,1
P1,11,E6,1,1,3
P1,11,D6,1,1,2
P1,11,D2,2,5,5
P1,11,A2,2,5,4
P1,11,F3,2,5,2
P1,11,D3,2,5,3
P1,11,A3,2,5,2
P1,11,D4,2,5,1
P1,11,A3,2,5,2
P1,11,F3,2,5,1
P1,12,A5,1,1,3
P1,12,E6,1,1,4
P1,12,F6,1,1,5
P1,12,G6,1,1,5
P1,12,G6,1,1,5
P1,12,C3,2,5,3
P1,12,A3,2,5,2
P1,12,E4,2,5,1
P1,12,A3,2,5,2
P1,12,A2,2,5,4
P1,12,G3,2,5,2
P1,12,C4,2,5,1
