file,measure,pitch,fingering,part
Eine_Kleine,1,G4,,P1
Eine_Kleine,1,D4,,P1
Eine_Kleine,1,G4,,P1
Eine_Kleine,1,D4,,P1
Eine_Kleine,1,G3,,P1
Eine_Kleine,1,D3,,P1
Eine_Kleine,1,G3,,P1
Eine_Kleine,1,D3,,P1
Eine_Kleine,2,G4,,P1
Eine_Kleine,2,D4,,P1
Eine_Kleine,2,G4,,P1
Eine_Kleine,2,B4,,P1
Eine_Kleine,2,D5,,P1
Eine_Kleine,2,G3,,P1
Eine_Kleine,2,D3,,P1
Eine_Kleine,2,G3,,P1
Eine_Kleine,2,B3,,P1
Eine_Kleine,2,D4,,P1
Eine_Kleine,3,C5,,P1
Eine_Kleine,3,A4,,P1
Eine_Kleine,3,C5,,P1
Eine_Kleine,3,A4,,P1
Eine_Kleine,3,C4,,P1
Eine_Kleine,3,A3,,P1
Eine_Kleine,3,C4,,P1
Eine_Kleine,3,A3,,P1
Eine_Kleine,4,C5,,P1
Eine_Kleine,4,A4,,P1
Eine_Kleine,4,F#4,,P1
Eine_Kleine,4,A4,,P1
Eine_Kleine,4,D4,,P1
Eine_Kleine,4,C4,,P1
Eine_Kleine,4,A3,,P1
Eine_Kleine,4,F#3,,P1
Eine_Kleine,4,A3,,P1
Eine_Kleine,4,D3,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,G4,,P1
Eine_Kleine,5,G4,,P1
Eine_Kleine,5,G4,,P1
Eine_Kleine,5,B4,,P1
Eine_Kleine,5,A4,,P1
Eine_Kleine,5,G4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,5,B3,,P1
Eine_Kleine,5,D4,,P1
Eine_Kleine,6,G4,,P1
Eine_Kleine,6,F#4,,P1
Eine_Kleine,6,F#4,,P1
Eine_Kleine,6,F#4,,P1
Eine_Kleine,6,A4,,P1
Eine_Kleine,6,C5,,P1
Eine_Kleine,6,F#4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,6,C4,,P1
Eine_Kleine,6,D4,,P1
Eine_Kleine,7,A4,,P1
Eine_Kleine,7,G4,,P1
Eine_Kleine,7,G4,,P1
Eine_Kleine,7,G4,,P1
Eine_Kleine,7,B4,,P1
Eine_Kleine,7,A4,,P1
Eine_Kleine,7,G4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,7,B3,,P1
Eine_Kleine,7,D4,,P1
Eine_Kleine,8,G4,,P1
Eine_Kleine,8,F#4,,P1
Eine_Kleine,8,F#4,,P1
Eine_Kleine,8,F#4,,P1
Eine_Kleine,8,A4,,P1
Eine_Kleine,8,C5,,P1
Eine_Kleine,8,F#4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,8,C4,,P1
Eine_Kleine,8,D4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,F#4,,P1
Eine_Kleine,9,E4,,P1
Eine_Kleine,9,F#4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,B4,,P1
Eine_Kleine,9,A4,,P1
Eine_Kleine,9,G4,,P1
Eine_Kleine,9,A4,,P1
Eine_Kleine,9,B3,,P1
Eine_Kleine,9,C4,,P1
Eine_Kleine,9,D4,,P1
Eine_Kleine,10,B4,,P1
Eine_Kleine,10,B4,,P1
Eine_Kleine,10,D5,,P1
Eine_Kleine,10,C5,,P1
Eine_Kleine,10,B4,,P1
Eine_Kleine,10,C5,,P1
Eine_Kleine,10,D5,,P1
Eine_Kleine,10,G3,,P1
Eine_Kleine,10,A3,,P1
Eine_Kleine,10,B3,,P1
Eine_Kleine,11,B4,,P1
Eine_Kleine,11,D5,,P1
Eine_Kleine,11,C5,,P1
Eine_Kleine,11,E5,,P1
Eine_Kleine,12,B4,,P1
Eine_Kleine,12,D5,,P1
Eine_Kleine,12,A4,,P1
Eine_Kleine,12,C5,,P1
Eine_Kleine,12,A4,,P1
Eine_Kleine,12,C5,,P1
Eine_Kleine,12,A4,,P1
Eine_Kleine,12,C5,,P1
Eine_Kleine,12,G4,,P1
Eine_Kleine,12,B4,,P1
Eine_Kleine,12,G4,,P1
Eine_Kleine,12,B4,,P1
Eine_Kleine,12,F#3,,P1
Eine_Kleine,12,G3,,P1
Eine_Kleine,13,E4,,P1
Eine_Kleine,13,B4,,P1
Eine_Kleine,13,A4,,P1
Eine_Kleine,13,A4,,P1
Eine_Kleine,13,C4,,P1
Eine_Kleine,13,G4,,P1
Eine_Kleine,13,F#4,,P1
Eine_Kleine,13,E4,,P1
Eine_Kleine,13,F#4,,P1
Eine_Kleine,13,C3,,P1
Eine_Kleine,13,D3,,P1
Eine_Kleine,14,G4,,P1
Eine_Kleine,14,F#4,,P1
Eine_Kleine,14,A4,,P1
Eine_Kleine,14,G4,,P1
Eine_Kleine,14,B4,,P1
Eine_Kleine,14,B2,,P1
Eine_Kleine,14,D3,,P1
Eine_Kleine,14,G3,,P1
Eine_Kleine,15,B4,,P1
Eine_Kleine,15,D5,,P1
Eine_Kleine,15,C5,,P1
Eine_Kleine,15,E5,,P1
Eine_Kleine,16,B4,,P1
Eine_Kleine,16,D5,,P1
Eine_Kleine,16,A4,,P1
Eine_Kleine,16,C5,,P1
Eine_Kleine,16,A4,,P1
Eine_Kleine,16,C5,,P1
Eine_Kleine,16,A4,,P1
Eine_Kleine,16,C5,,P1
Eine_Kleine,16,A4,,P1
Eine_Kleine,16,C5,,P1
Eine_Kleine,16,G4,,P1
Eine_Kleine,16,B4,,P1
Eine_Kleine,16,G4,,P1
Eine_Kleine,16,B4,,P1
Eine_Kleine,16,G4,,P1
Eine_Kleine,16,B4,,P1
Eine_Kleine,16,F#3,,P1
Eine_Kleine,16,G3,,P1
Eine_Kleine,17,E4,,P1
Eine_Kleine,17,B4,,P1
Eine_Kleine,17,A4,,P1
Eine_Kleine,17,A4,,P1
Eine_Kleine,17,A4,,P1
Eine_Kleine,17,C4,,P1
Eine_Kleine,17,G4,,P1
Eine_Kleine,17,F#4,,P1
Eine_Kleine,17,E4,,P1
Eine_Kleine,17,F#4,,P1
Eine_Kleine,17,C3,,P1
Eine_Kleine,17,C3,,P1
Eine_Kleine,17,D3,,P1
Eine_Kleine,17,D3,,P1
Eine_Kleine,18,G4,,P1
Eine_Kleine,18,G3,,P1
Eine_Kleine,18,B3,,P1
Eine_Kleine,18,D4,,P1
Eine_Kleine,18,B3,,P1
Eine_Kleine,18,G3,,P1
Eine_Kleine,18,B3,,P1
Eine_Kleine,19,G4,,P1
Eine_Kleine,19,D4,,P1
Eine_Kleine,19,G4,,P1
Eine_Kleine,19,B4,,P1
Eine_Kleine,19,D5,,P1
Eine_Kleine,19,F#4,,P1
Eine_Kleine,19,D4,,P1
Eine_Kleine,19,C4,,P1
Eine_Kleine,19,D4,,P1
Eine_Kleine,20,G4,,P1
Eine_Kleine,20,G3,,P1
Eine_Kleine,20,B3,,P1
Eine_Kleine,20,D4,,P1
Eine_Kleine,20,B3,,P1
Eine_Kleine,20,G3,,P1
Eine_Kleine,20,B3,,P1
Eine_Kleine,20,D4,,P1
Eine_Kleine,21,G4,,P1
Eine_Kleine,21,D4,,P1
Eine_Kleine,21,G4,,P1
Eine_Kleine,21,B4,,P1
Eine_Kleine,21,D5,,P1
Eine_Kleine,21,F#4,,P1
Eine_Kleine,21,G4,,P1
Eine_Kleine,21,C4,,P1
Eine_Kleine,21,D4,,P1
Eine_Kleine,21,G3,,P1
Eine_Kleine,21,B3,,P1
Eine_Kleine,22,G4,,P1
Eine_Kleine,22,G4,,P1
Eine_Kleine,22,D3,,P1
Eine_Kleine,22,D3,,P1
Eine_Kleine,22,G3,,P1
Eine_Kleine,22,B3,,P1
Eine_Kleine,22,D3,,P1
Eine_Kleine,22,D3,,P1
Eine_Kleine,22,G3,,P1
Eine_Kleine,22,B3,,P1
Eine_Kleine,23,G2,,P1
Eine_Kleine,23,G2,,P1
Eine_Kleine,23,G2,,P1
Eine_Kleine,24,G2,,P1
Fur_Elise_fingered,0,E5,4,P1
Fur_Elise_fingered,0,D#5,,P1
Fur_Elise_fingered,1,E5,,P1
Fur_Elise_fingered,1,D#5,,P1
Fur_Elise_fingered,1,E5,,P1
Fur_Elise_fingered,1,B4,1,P1
Fur_Elise_fingered,1,D5,4,P1
Fur_Elise_fingered,1,C5,,P1
Fur_Elise_fingered,2,A4,,P1
Fur_Elise_fingered,2,C4,1,P1
Fur_Elise_fingered,2,E4,2,P1
Fur_Elise_fingered,2,A4,4,P1
Fur_Elise_fingered,2,A2,5,P1
Fur_Elise_fingered,2,E3,2,P1
Fur_Elise_fingered,2,A3,1,P1
Fur_Elise_fingered,3,B4,,P1
Fur_Elise_fingered,3,E4,1,P1
Fur_Elise_fingered,3,G#4,2,P1
Fur_Elise_fingered,3,B4,4,P1
Fur_Elise_fingered,3,E2,5,P1
Fur_Elise_fingered,3,E3,1,P1
Fur_Elise_fingered,3,G#3,2,P1
Fur_Elise_fingered,4,C5,,P1
Fur_Elise_fingered,4,E4,1,P1
Fur_Elise_fingered,4,E5,5,P1
Fur_Elise_fingered,4,D#5,3,P1
Fur_Elise_fingered,4,A2,,P1
Fur_Elise_fingered,4,E3,,P1
Fur_Elise_fingered,4,A3,,P1
Fur_Elise_fingered,5,E5,4,P1
Fur_Elise_fingered,5,D#5,3,P1
Fur_Elise_fingered,5,E5,,P1
Fur_Elise_fingered,5,B4,1,P1
Fur_Elise_fingered,5,D5,4,P1
Fur_Elise_fingered,5,C5,,P1
Fur_Elise_fingered,6,A4,,P1
Fur_Elise_fingered,6,C4,,P1
Fur_Elise_fingered,6,E4,,P1
Fur_Elise_fingered,6,A4,,P1
Fur_Elise_fingered,6,A2,,P1
Fur_Elise_fingered,6,E3,,P1
Fur_Elise_fingered,6,A3,,P1
Fur_Elise_fingered,7,B4,,P1
Fur_Elise_fingered,7,E4,1,P1
Fur_Elise_fingered,7,C5,5,P1
Fur_Elise_fingered,7,B4,,P1
Fur_Elise_fingered,7,E2,,P1
Fur_Elise_fingered,7,E3,,P1
Fur_Elise_fingered,7,G#3,,P1
Fur_Elise_fingered,8,A4,,P1
Fur_Elise_fingered,8,A2,,P1
Fur_Elise_fingered,8,E3,,P1
Fur_Elise_fingered,8,A3,,P1
Fur_Elise_fingered,9,A4,,P1
Fur_Elise_fingered,9,B4,1,P1
Fur_Elise_fingered,9,C5,,P1
Fur_Elise_fingered,9,D5,,P1
Fur_Elise_fingered,9,A2,,P1
Fur_Elise_fingered,9,E3,,P1
Fur_Elise_fingered,9,A3,,P1
Fur_Elise_fingered,10,E5,,P1
Fur_Elise_fingered,10,G4,1,P1
Fur_Elise_fingered,10,F5,5,P1
Fur_Elise_fingered,10,E5,,P1
Fur_Elise_fingered,10,C3,,P1
Fur_Elise_fingered,10,G3,,P1
Fur_Elise_fingered,10,C4,,P1
Fur_Elise_fingered,11,D5,,P1
Fur_Elise_fingered,11,F4,1,P1
Fur_Elise_fingered,11,E5,5,P1
Fur_Elise_fingered,11,D5,,P1
Fur_Elise_fingered,11,G2,5,P1
Fur_Elise_fingered,11,G3,1,P1
Fur_Elise_fingered,11,B3,2,P1
Fur_Elise_fingered,12,C5,,P1
Fur_Elise_fingered,12,E4,1,P1
Fur_Elise_fingered,12,D5,5,P1
Fur_Elise_fingered,12,C5,,P1
Fur_Elise_fingered,12,A2,,P1
Fur_Elise_fingered,12,E3,,P1
Fur_Elise_fingered,12,A3,,P1
Fur_Elise_fingered,13,B4,,P1
Fur_Elise_fingered,13,E4,1,P1
Fur_Elise_fingered,13,E5,5,P1
Fur_Elise_fingered,13,E2,5,P1
Fur_Elise_fingered,13,E3,1,P1
Fur_Elise_fingered,13,E4,2,P1
Fur_Elise_fingered,13,E4,5,P1
Fur_Elise_fingered,14,E5,1,P1
Fur_Elise_fingered,14,E6,5,P1
Fur_Elise_fingered,14,D#5,2,P1
Fur_Elise_fingered,14,E5,1,P1
Fur_Elise_fingered,14,D#5,3,P1
Fur_Elise_fingered,14,E5,2,P1
Fur_Elise_fingered,15,E5,3,P1
Fur_Elise_fingered,15,D#5,3,P1
Fur_Elise_fingered,15,E5,,P1
Fur_Elise_fingered,15,D#5,,P1
Fur_Elise_fingered,15,D#5,3,P1
Fur_Elise_fingered,15,E5,,P1
Fur_Elise_fingered,16,E5,,P1
Fur_Elise_fingered,16,D#5,,P1
Fur_Elise_fingered,16,E5,,P1
Fur_Elise_fingered,16,B4,,P1
Fur_Elise_fingered,16,D5,4,P1
Fur_Elise_fingered,16,C5,,P1
Fur_Elise_fingered,17,A4,,P1
Fur_Elise_fingered,17,C4,,P1
Fur_Elise_fingered,17,E4,,P1
Fur_Elise_fingered,17,A4,,P1
Fur_Elise_fingered,17,A2,,P1
Fur_Elise_fingered,17,E3,,P1
Fur_Elise_fingered,17,A3,,P1
Fur_Elise_fingered,18,B4,,P1
Fur_Elise_fingered,18,E4,,P1
Fur_Elise_fingered,18,G#4,,P1
Fur_Elise_fingered,18,B4,,P1
Fur_Elise_fingered,18,E2,,P1
Fur_Elise_fingered,18,E3,,P1
Fur_Elise_fingered,18,G#3,,P1
Fur_Elise_fingered,19,C5,,P1
Fur_Elise_fingered,19,E4,,P1
Fur_Elise_fingered,19,E5,,P1
Fur_Elise_fingered,19,D#5,,P1
Fur_Elise_fingered,19,A2,,P1
Fur_Elise_fingered,19,E3,,P1
Fur_Elise_fingered,19,A3,,P1
Fur_Elise_fingered,20,E5,,P1
Fur_Elise_fingered,20,D#5,,P1
Fur_Elise_fingered,20,E5,,P1
Fur_Elise_fingered,20,B4,,P1
Fur_Elise_fingered,20,D5,4,P1
Fur_Elise_fingered,20,C5,,P1
Fur_Elise_fingered,21,A4,,P1
Fur_Elise_fingered,21,C4,,P1
