part,measure,pitch,staff,voice,ground_truth
P1,21,C4,1,1,3
P1,21,A3,1,1,1
P1,21,E4,1,1,4
P1,21,C4,1,1,2
P1,21,E4,1,1,4
P1,21,D4,1,1,2
P1,21,A4,1,1,5
P1,21,E4,1,1,1
P1,21,A4,1,1,2
P1,21,F4,1,1,1
P1,21,C5,1,1,4
P1,21,B4,1,1,3
P1,21,C5,1,1,4
P1,21,B4,1,1,3
P1,21,A4,1,1,2
P1,21,D4,1,1,1
P1,21,E4,1,1,2
P1,21,F5,1,1,5
P1,21,C5,1,1,2
P1,22,F2,1,1,1
P1,22,G2,1,1,2
P1,22,A2,1,1,3
P1,22,B2,1,1,4
P1,22,C3,1,1,5
P1,22,D3,1,1,4
P1,22,E3,1,1,5
P1,22,A2,1,1,2
P1,22,D3,1,1,3
P1,22,E3,1,1,5
P1,22,A2,1,1,2
P1,22,E2,1,1,1
P2,1,A4,1,1,3
P2,1,G4,1,1,2
P2,1,A4,1,1,3
P2,1,B4,1,1,4
P2,1,C3,2,5,1
P2,1,C3,2,6,1
P2,1,B2,2,6,2
P2,2,C5,1,1,5
P2,2,B4,1,1,4
P2,2,A4,1,1,3
P2,2,G4,1,1,2
P2,2,C3,2,5,1
P2,2,G2,2,6,1
P2,2,C3,2,6,2
P2,2,G2,2,7,4
P2,2,F2,2,7,5
P2,2,G2,2,7,4
P2,3,F4,1,1,1
P2,3,E4,1,1,1
P2,3,F4,1,1,2
P2,3,G4,1,1,3
P2,3,C3,2,5,1
P2,3,A2,2,6,3
P2,3,G2,2,6,4
P2,4,D5,1,1,5
P2,4,G4,1,1,2
P2,4,G5,1,1,5
P2,4,G4,1,1,1
P2,4,B2,2,5,2
P2,4,G2,2,6,4
P2,5,E5,1,1,5
P2,5,D5,1,1,4
P2,5,C5,1,1,3
P2,5,D5,1,1,4
P2,5,G4,1,1,1
P2,6,D5,1,1,4
P2,6,G4,1,1,1
P2,6,G5,1,1,5
P2,6,G4,1,1,1
P2,6,B2,2,5,2
P2,6,A2,2,5,3
P2,7,E5,1,1,5
P2,7,D5,1,1,4
P2,7,C5,1,1,3
P2,7,D5,1,1,4
P2,7,C3,2,5,2
P2,7,B2,2,5,3
P2,8,G4,1,1,1
P2,8,F5,1,1,5
P2,8,G4,1,1,1
P2,8,E5,1,1,4
P2,8,F4,1,1,1
P2,8,D5,1,1,3
P2,8,G4,1,1,1
P2,8,B3,2,5,2
P2,8,C4,2,5,1
P2,8,A3,2,5,3
P2,8,B3,2,5,2
P2,9,G4,1,1,1
P2,9,F5,1,1,5
P2,9,G4,1,1,1
P2,9,E5,1,1,4
P2,9,F4,1,1,1
P2,9,D5,1,1,3
P2,9,G4,1,1,1
P2,9,B3,2,5,2
P2,9,C4,2,5,1
P2,9,A3,2,5,2
P2,9,B3,2,5,1
P2,10,A4,1,1,2
P2,10,B4,1,1,3
P2,10,G4,1,1,1
P2,10,A4,1,1,2
P2,10,B4,1,1,3
P2,10,G4,1,1,1
P2,10,F3,2,5,1
P2,10,B3,2,5,3
P2,11,A4,1,1,2
P2,11,B4,1,1,3
P2,11,G4,1,1,1
P2,11,A4,1,1,2
P2,11,B4,1,1,3
P2,11,G4,1,1,1
P2,11,E3,2,5,1
P2,11,B3,2,5,2
P2,12,A4,1,1,2
P2,12,B4,1,1,3
P2,12,G4,1,1,1
P2,12,A4,1,1,2
P2,12,B4,1,1,3
P2,12,G4,1,1,1
P2,12,D3,2,5,1
P2,12,B3,2,5,1
P2,13,G4,1,1,2
P2,13,G4,1,1,2
P2,13,E4,1,1,1
P2,13,D3,2,5,1
P2,13,B3,2,5,5
P2,13,D3,2,5,1
P2,13,B3,2,5,5
P2,14,B4,1,1,4
P2,14,E4,1,1,1
P2,14,E5,1,1,5
P2,14,E4,1,1,1
P2,14,D3,2,5,1
P2,14,B3,2,5,5
P2,14,C3,2,5,1
P2,14,A3,2,5,4
P2,15,C5,1,1,5
P2,15,B4,1,1,4
P2,15,A4,1,1,3
P2,15,B4,1,1,4
P2,15,A3,2,5,1
P2,15,D3,2,5,4
P2,15,B2,2,6,2
P2,16,A4,1,1,3
P2,16,B4,1,1,4
P2,16,G4,1,1,3
P2,16,F4,1,1,2
P2,16,G4,1,1,3
P2,16,E4,1,1,2
P2,16,C3,2,5,3
P2,16,E3,2,5,5
P2,16,B2,2,5,2
P2,16,A2,2,5,3
P2,16,G2,2,5,4
P2,17,D4,1,1,1
P2,17,E4,1,1,2
P2,17,C4,1,1,3
P2,17,B3,1,1,2
P2,17,F2,2,5,5
P2,17,E2,2,5,4
P2,17,D2,2,5,5
P2,18,A3,1,1,1
P2,18,B3,1,1,2
P2,18,C4,1,1,3
P2,18,B3,1,1,2
P2,18,D2,2,5,5
P2,18,E2,2,5,4
P2,18,F2,2,5,3
P2,19,A3,1,1,1
P2,19,B3,1,1,2
P2,19,C4,1,1,3
P2,19,B3,1,1,2
P2,19,D2,2,5,4
P2,19,E2,2,5,3
P2,19,F2,2,5,2
P2,20,A3,1,1,1
P2,20,B3,1,1,2
P2,20,C4,1,1,3
P2,20,B3,1,1,2
P2,20,C4,1,1,3
P2,20,A3,1,1,1
P2,20,F2,2,5,2
