file,measure,pitch,fingering,part
annotated_Piano7_candace_page1,1,C5,3,P1
annotated_Piano7_candace_page1,1,A4,1,P1
annotated_Piano7_candace_page1,2,G6,5,P1
annotated_Piano7_candace_page1,2,D5,4,P1
annotated_Piano7_candace_page1,2,A4,1,P1
annotated_Piano7_candace_page1,2,C5,3,P1
annotated_Piano7_candace_page1,2,E5,1,P1
annotated_Piano7_candace_page1,3,G6,5,P1
annotated_Piano7_candace_page1,3,D5,4,P1
annotated_Piano7_candace_page1,3,A4,1,P1
annotated_Piano7_candace_page1,3,C5,3,P1
annotated_Piano7_candace_page1,3,E5,1,P1
annotated_Piano7_candace_page1,4,G6,5,P1
annotated_Piano7_candace_page1,4,D5,4,P1
annotated_Piano7_candace_page1,4,A4,1,P1
annotated_Piano7_candace_page1,4,C5,3,P1
annotated_Piano7_candace_page1,4,E5,1,P1
annotated_Piano7_candace_page1,4,A3,5,P1
annotated_Piano7_candace_page1,4,E4,1,P1
annotated_Piano7_candace_page1,4,C4,3,P1
annotated_Piano7_candace_page1,4,E4,1,P1
annotated_Piano7_candace_page1,5,G6,5,P1
annotated_Piano7_candace_page1,5,D5,4,P1
annotated_Piano7_candace_page1,5,A4,1,P1
annotated_Piano7_candace_page1,5,C5,3,P1
annotated_Piano7_candace_page1,5,E5,5,P1
annotated_Piano7_candace_page1,5,A3,5,P1
annotated_Piano7_candace_page1,5,E4,1,P1
annotated_Piano7_candace_page1,5,C4,3,P1
annotated_Piano7_candace_page1,5,E4,1,P1
annotated_Piano7_candace_page1,6,E5,5,P1
annotated_Piano7_candace_page1,6,C5,1,P1
annotated_Piano7_candace_page1,6,A4,1,P1
annotated_Piano7_candace_page1,6,C5,,P1
annotated_Piano7_candace_page1,6,E5,,P1
annotated_Piano7_candace_page1,6,C5,,P1
annotated_Piano7_candace_page1,6,A4,,P1
annotated_Piano7_candace_page1,6,F3,5,P1
annotated_Piano7_candace_page1,6,C4,1,P1
annotated_Piano7_candace_page1,6,C3,1,P1
annotated_Piano7_candace_page1,6,A3,,P1
annotated_Piano7_candace_page1,6,C3,51,P1
annotated_Piano7_candace_page1,6,A3,,P1
annotated_Piano7_candace_page1,6,C4,1,P1
annotated_Piano7_candace_page1,6,C4,1,P1
annotated_Piano7_candace_page1,6,C4,,P1
annotated_Piano7_candace_page1,6,C3,,P1
annotated_Piano7_candace_page1,6,A3,,P1
annotated_Piano7_candace_page1,6,C3,,P1
annotated_Piano7_candace_page1,6,A3,,P1
annotated_Piano7_candace_page1,6,C4,,P1
annotated_Piano7_candace_page1,7,E5,5,P1
annotated_Piano7_candace_page1,7,C5,3,P1
annotated_Piano7_candace_page1,7,A4,1,P1
annotated_Piano7_candace_page1,7,C5,3,P1
annotated_Piano7_candace_page1,7,E5,5,P1
annotated_Piano7_candace_page1,7,C5,3,P1
annotated_Piano7_candace_page1,7,A4,1,P1
annotated_Piano7_candace_page1,7,F3,3,P1
annotated_Piano7_candace_page1,7,E3,41,P1
annotated_Piano7_candace_page1,7,C4,,P1
annotated_Piano7_candace_page1,7,C3,521,P1
annotated_Piano7_candace_page1,7,A3,,P1
annotated_Piano7_candace_page1,7,C3,51,P1
annotated_Piano7_candace_page1,7,A3,,P1
annotated_Piano7_candace_page1,7,C4,,P1
annotated_Piano7_candace_page1,7,E3,,P1
annotated_Piano7_candace_page1,7,C4,,P1
annotated_Piano7_candace_page1,7,C3,,P1
annotated_Piano7_candace_page1,7,A3,,P1
annotated_Piano7_candace_page1,8,E5,5,P1
annotated_Piano7_candace_page1,8,C5,3,P1
annotated_Piano7_candace_page1,8,A4,1,P1
annotated_Piano7_candace_page1,8,C5,3,P1
annotated_Piano7_candace_page1,8,E5,5,P1
annotated_Piano7_candace_page1,8,C5,3,P1
annotated_Piano7_candace_page1,8,A4,1,P1
annotated_Piano7_candace_page1,8,A3,5,P1
annotated_Piano7_candace_page1,8,E4,1,P1
annotated_Piano7_candace_page1,8,C4,3,P1
annotated_Piano7_candace_page1,8,E4,1,P1
annotated_Piano7_candace_page1,8,C4,3,P1
annotated_Piano7_candace_page1,8,E4,1,P1
annotated_Piano7_candace_page1,8,C4,3,P1
annotated_Piano7_candace_page1,8,E4,1,P1
annotated_Piano7_candace_page1,8,C4,1,P1
annotated_Piano7_candace_page1,8,E4,,P1
annotated_Piano7_candace_page1,9,E5,5,P1
annotated_Piano7_candace_page1,9,C5,1,P1
annotated_Piano7_candace_page1,9,A4,1,P1
annotated_Piano7_candace_page1,9,C5,,P1
annotated_Piano7_candace_page1,9,E5,,P1
annotated_Piano7_candace_page1,9,C5,,P1
annotated_Piano7_candace_page1,9,A4,,P1
annotated_Piano7_candace_page1,9,A3,5,P1
annotated_Piano7_candace_page1,9,E4,1,P1
annotated_Piano7_candace_page1,9,E3,5,P1
annotated_Piano7_candace_page1,9,C4,,P1
annotated_Piano7_candace_page1,9,C4,31,P1
annotated_Piano7_candace_page1,9,E3,1,P1
annotated_Piano7_candace_page1,9,C4,,P1
annotated_Piano7_candace_page1,9,C4,3,P1
annotated_Piano7_candace_page1,9,E4,1,P1
annotated_Piano7_candace_page1,9,E4,,P1
annotated_Piano7_candace_page1,9,E4,,P1
annotated_Piano7_candace_page1,9,E4,,P1
annotated_Piano7_candace_page2,1,G5,5,P1
annotated_Piano7_candace_page2,1,D5,3,P1
annotated_Piano7_candace_page2,1,B4,1,P1
annotated_Piano7_candace_page2,1,D5,3,P1
annotated_Piano7_candace_page2,1,G5,5,P1
annotated_Piano7_candace_page2,1,F#5,4,P1
annotated_Piano7_candace_page2,1,D5,3,P1
annotated_Piano7_candace_page2,1,E3,5,P1
annotated_Piano7_candace_page2,1,B3,1,P1
annotated_Piano7_candace_page2,1,G3,3,P1
annotated_Piano7_candace_page2,1,B3,1,P1
annotated_Piano7_candace_page2,1,G3,3,P1
annotated_Piano7_candace_page2,1,B3,1,P1
annotated_Piano7_candace_page2,1,G3,3,P1
annotated_Piano7_candace_page2,1,B3,1,P1
annotated_Piano7_candace_page2,1,G3,3,P1
annotated_Piano7_candace_page2,1,B3,1,P1
annotated_Piano7_candace_page2,2,G5,5,P1
annotated_Piano7_candace_page2,2,D5,3,P1
annotated_Piano7_candace_page2,2,B4,1,P1
annotated_Piano7_candace_page2,2,D5,3,P1
annotated_Piano7_candace_page2,2,G5,5,P1
annotated_Piano7_candace_page2,2,F#5,4,P1
annotated_Piano7_candace_page2,2,D5,3,P1
annotated_Piano7_candace_page2,2,E3,5,P1
annotated_Piano7_candace_page2,2,B3,1,P1
annotated_Piano7_candace_page2,2,G3,3,P1
annotated_Piano7_candace_page2,2,B3,1,P1
annotated_Piano7_candace_page2,2,G3,3,P1
