file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page1,1,C5,3.0,P1,72,True,0.0,0.0,0,2,0.0,0,0.0,1.0,0,1,0,6,0,0,0,0
annotated_Piano7_candace_page1,1,A4,1.0,P1,69,True,-3.0,3.0,1,2,0.5,0,3.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,2,G6,5.0,P1,91,True,22.0,22.0,0,5,0.0,0,1.0,4.0,0,0,1,7,1,0,1,0
annotated_Piano7_candace_page1,2,D5,4.0,P1,74,True,-17.0,17.0,1,5,0.2,0,5.0,1.0,0,0,1,6,1,0,0,1
annotated_Piano7_candace_page1,2,A4,1.0,P1,69,True,-5.0,5.0,2,5,0.4,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,2,C5,3.0,P1,72,True,3.0,3.0,3,5,0.6,0,1.0,1.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page1,2,E5,1.0,P1,76,True,4.0,4.0,4,5,0.8,0,3.0,5.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page1,3,G6,5.0,P1,91,True,15.0,15.0,0,5,0.0,0,1.0,4.0,0,0,1,7,1,0,1,0
annotated_Piano7_candace_page1,3,D5,4.0,P1,74,True,-17.0,17.0,1,5,0.2,0,5.0,1.0,0,0,1,6,1,0,0,1
annotated_Piano7_candace_page1,3,A4,1.0,P1,69,True,-5.0,5.0,2,5,0.4,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,3,C5,3.0,P1,72,True,3.0,3.0,3,5,0.6,0,1.0,1.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page1,3,E5,1.0,P1,76,True,4.0,4.0,4,5,0.8,0,3.0,5.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page1,4,G6,5.0,P1,91,True,15.0,15.0,0,8,0.0,0,1.0,4.0,0,0,1,7,1,0,1,0
annotated_Piano7_candace_page1,4,D5,4.0,P1,74,True,-17.0,17.0,1,8,0.125,0,5.0,1.0,0,0,1,6,1,0,0,1
annotated_Piano7_candace_page1,4,A4,1.0,P1,69,True,-5.0,5.0,2,8,0.25,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,4,C5,3.0,P1,72,True,3.0,3.0,3,8,0.375,0,1.0,1.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page1,4,E5,1.0,P1,76,True,4.0,4.0,4,8,0.5,0,3.0,5.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page1,4,A3,5.0,P1,57,True,-19.0,19.0,5,8,0.625,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,4,E4,1.0,P1,64,True,7.0,7.0,6,8,0.75,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page1,4,C4,3.0,P1,60,True,-4.0,4.0,7,8,0.875,0,1.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,5,G6,5.0,P1,91,True,31.0,31.0,0,8,0.0,0,3.0,4.0,0,0,1,7,1,0,1,0
annotated_Piano7_candace_page1,5,D5,4.0,P1,74,True,-17.0,17.0,1,8,0.125,0,5.0,1.0,0,0,1,6,1,0,0,1
annotated_Piano7_candace_page1,5,A4,1.0,P1,69,True,-5.0,5.0,2,8,0.25,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,5,C5,3.0,P1,72,True,3.0,3.0,3,8,0.375,0,1.0,5.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page1,5,E5,5.0,P1,76,True,4.0,4.0,4,8,0.5,0,3.0,5.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page1,5,A3,5.0,P1,57,True,-19.0,19.0,5,8,0.625,0,5.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,5,E4,1.0,P1,64,True,7.0,7.0,6,8,0.75,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page1,5,C4,3.0,P1,60,True,-4.0,4.0,7,8,0.875,0,1.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,6,E5,5.0,P1,76,True,16.0,16.0,0,7,0.0,0,3.0,1.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page1,6,C5,1.0,P1,72,True,-4.0,4.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,0,0,0,1
annotated_Piano7_candace_page1,6,A4,1.0,P1,69,True,-3.0,3.0,2,7,0.2857142857142857,0,1.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page1,6,F3,5.0,P1,53,True,-16.0,16.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,6,C4,1.0,P1,60,True,7.0,7.0,4,7,0.5714285714285714,0,5.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page1,6,C3,1.0,P1,48,True,-12.0,12.0,5,7,0.7142857142857143,0,1.0,5.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page1,6,C3,5.0,P1,48,True,0.0,0.0,6,7,0.8571428571428571,0,1.0,5.0,0,1,0,4,0,1,0,0
