file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending,finger_span,hand_position,in_scale_pattern,is_first_in_measure,is_last_in_measure,pp_speed_cost,pp_hand_stretch,pp_forbidden,pp_black_penalty,pp_prediction,pp_confidence
annotated_Piano7_candace_page1,1,C5,3.0,P1,72,True,0.0,0.0,0,2,0.0,0,0.0,1.0,0,1,0,6,0,0,0,0,0.0,72.0,0,1,0,0.0,1.0,0,1.0,2,0.0
annotated_Piano7_candace_page1,1,A4,1.0,P1,69,True,-3.0,3.0,1,2,0.5,0,3.0,5.0,0,0,0,5,0,0,0,1,3.0,70.5,0,0,1,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,2,G6,5.0,P1,91,True,22.0,22.0,0,5,0.0,0,1.0,4.0,0,0,1,7,1,0,1,0,22.0,77.33333333333333,0,1,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,2,D5,4.0,P1,74,True,-17.0,17.0,1,5,0.2,0,5.0,1.0,0,0,1,6,1,0,0,1,17.0,76.5,0,0,0,1.3888888888888888,1.0,1,1.0,5,0.0
annotated_Piano7_candace_page1,2,A4,1.0,P1,69,True,-5.0,5.0,2,5,0.4,0,4.0,3.0,0,0,0,5,0,0,0,1,5.0,75.0,0,0,0,0.9090909090909091,1.0,0,1.0,4,0.0
annotated_Piano7_candace_page1,2,C5,3.0,P1,72,True,3.0,3.0,3,5,0.6,0,1.0,1.0,0,0,0,6,0,0,1,0,3.0,75.0,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,2,E5,1.0,P1,76,True,4.0,4.0,4,5,0.8,0,3.0,5.0,0,0,0,6,1,0,1,0,4.0,76.4,0,0,1,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page1,3,G6,5.0,P1,91,True,15.0,15.0,0,5,0.0,0,1.0,4.0,0,0,1,7,1,0,1,0,15.0,76.4,0,1,0,1.5625,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page1,3,D5,4.0,P1,74,True,-17.0,17.0,1,5,0.2,0,5.0,1.0,0,0,1,6,1,0,0,1,17.0,76.4,0,0,0,1.3888888888888888,1.0,1,1.0,5,0.0
annotated_Piano7_candace_page1,3,A4,1.0,P1,69,True,-5.0,5.0,2,5,0.4,0,4.0,3.0,0,0,0,5,0,0,0,1,5.0,76.4,0,0,0,0.9090909090909091,1.0,0,1.0,4,0.0
